GAME_DATE,ATTENDANCE,GAME_TIME,game_id
"SATURDAY, NOVEMBER 21, 2015",20562,2:08,0021500001
"SATURDAY, NOVEMBER 21, 2015",15890,2:13,0021500001
"SATURDAY, NOVEMBER 21, 2015",19673,2:35,0021500001
"SATURDAY, NOVEMBER 21, 2015",18226,2:24,0021500001
"SATURDAY, NOVEMBER 21, 2015",18418,2:12,0021500001
"SUNDAY, NOVEMBER 22, 2015",19060,2:21,0021500001
"SUNDAY, NOVEMBER 22, 2015",14866,2:13,0021500001
"SUNDAY, NOVEMBER 22, 2015",16680,2:28,0021500001
"SUNDAY, NOVEMBER 22, 2015",18203,2:21,0021500001
"SUNDAY, NOVEMBER 22, 2015",17689,2:19,0021500001
"SUNDAY, NOVEMBER 22, 2015",18997,2:04,0021500001
"MONDAY, NOVEMBER 23, 2015",14163,2:33,0021500001
"MONDAY, NOVEMBER 23, 2015",20562,2:03,0021500001
"MONDAY, NOVEMBER 23, 2015",19777,2:08,0021500001
"MONDAY, NOVEMBER 23, 2015",12319,2:11,0021500001
"MONDAY, NOVEMBER 23, 2015",11382,2:27,0021500001
"MONDAY, NOVEMBER 23, 2015",18418,2:02,0021500001
"MONDAY, NOVEMBER 23, 2015",19911,2:14,0021500001
"TUESDAY, NOVEMBER 24, 2015",15486,2:09,0021500001
"TUESDAY, NOVEMBER 24, 2015",18968,2:18,0021500001
"TUESDAY, NOVEMBER 24, 2015",17381,2:19,0021500001
"TUESDAY, NOVEMBER 24, 2015",13257,2:31,0021500001
"TUESDAY, NOVEMBER 24, 2015",19393,2:23,0021500001
"TUESDAY, NOVEMBER 24, 2015",19596,2:05,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",17064,2:08,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",18846,2:18,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",17588,2:14,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",15119,2:02,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",20140,2:14,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",18143,2:17,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",14120,2:18,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",14289,2:19,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",18203,2:02,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",18418,2:06,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",16338,2:25,0021500001
"WEDNESDAY, NOVEMBER 25, 2015",19060,2:14,0021500001
"FRIDAY, NOVEMBER 27, 2015",19093,2:23,0021500001
"FRIDAY, NOVEMBER 27, 2015",16317,2:06,0021500001
"FRIDAY, NOVEMBER 27, 2015",18624,2:08,0021500001
"FRIDAY, NOVEMBER 27, 2015",19812,2:14,0021500001
"FRIDAY, NOVEMBER 27, 2015",18165,2:09,0021500001
"FRIDAY, NOVEMBER 27, 2015",17306,2:25,0021500001
"FRIDAY, NOVEMBER 27, 2015",17684,2:15,0021500001
"FRIDAY, NOVEMBER 27, 2015",18203,2:10,0021500001
"FRIDAY, NOVEMBER 27, 2015",17121,2:08,0021500001
"FRIDAY, NOVEMBER 27, 2015",18055,2:14,0021500001
"FRIDAY, NOVEMBER 27, 2015",17317,2:08,0021500001
"FRIDAY, NOVEMBER 27, 2015",19162,2:13,0021500001
"SATURDAY, NOVEMBER 28, 2015",16841,2:18,0021500001
"SATURDAY, NOVEMBER 28, 2015",20562,2:19,0021500001
"SATURDAY, NOVEMBER 28, 2015",20339,2:12,0021500001
"SATURDAY, NOVEMBER 28, 2015",18418,2:01,0021500001
"SATURDAY, NOVEMBER 28, 2015",19911,2:20,0021500001
"SATURDAY, NOVEMBER 28, 2015",20019,2:12,0021500001
"SATURDAY, NOVEMBER 28, 2015",19596,2:07,0021500001
"SUNDAY, NOVEMBER 29, 2015",14224,2:05,0021500001
"SUNDAY, NOVEMBER 29, 2015",19060,2:19,0021500001
"SUNDAY, NOVEMBER 29, 2015",12823,2:09,0021500001
"SUNDAY, NOVEMBER 29, 2015",16209,2:08,0021500001
"SUNDAY, NOVEMBER 29, 2015",19800,2:09,0021500001
"SUNDAY, NOVEMBER 29, 2015",15322,2:23,0021500001
"SUNDAY, NOVEMBER 29, 2015",19812,2:37,0021500001
"SUNDAY, NOVEMBER 29, 2015",18997,2:28,0021500001
"MONDAY, NOVEMBER 30, 2015",14818,2:23,0021500001
"MONDAY, NOVEMBER 30, 2015",19600,2:13,0021500001
"MONDAY, NOVEMBER 30, 2015",17768,2:16,0021500001
"MONDAY, NOVEMBER 30, 2015",21909,2:06,0021500001
"MONDAY, NOVEMBER 30, 2015",10187,2:09,0021500001
"MONDAY, NOVEMBER 30, 2015",19911,2:13,0021500001
"MONDAY, NOVEMBER 30, 2015",16937,2:22,0021500001
"MONDAY, NOVEMBER 30, 2015",19060,2:32,0021500001
"TUESDAY, DECEMBER 1, 2015",20562,2:19,0021500001
"TUESDAY, DECEMBER 1, 2015",20510,2:18,0021500001
"TUESDAY, DECEMBER 1, 2015",12787,2:09,0021500001
"TUESDAY, DECEMBER 1, 2015",10694,2:19,0021500001
"TUESDAY, DECEMBER 1, 2015",16020,2:16,0021500001
"TUESDAY, DECEMBER 1, 2015",19393,2:33,0021500001
"WEDNESDAY, DECEMBER 2, 2015",19542,2:07,0021500001
"WEDNESDAY, DECEMBER 2, 2015",20356,2:16,0021500001
"WEDNESDAY, DECEMBER 2, 2015",13985,2:47,0021500001
"WEDNESDAY, DECEMBER 2, 2015",19812,2:13,0021500001
"WEDNESDAY, DECEMBER 2, 2015",12559,2:07,0021500001
"WEDNESDAY, DECEMBER 2, 2015",21349,2:14,0021500001
"WEDNESDAY, DECEMBER 2, 2015",17339,2:26,0021500001
"WEDNESDAY, DECEMBER 2, 2015",18418,2:04,0021500001
"WEDNESDAY, DECEMBER 2, 2015",19060,2:35,0021500001
"THURSDAY, DECEMBER 3, 2015",19600,2:25,0021500001
"THURSDAY, DECEMBER 3, 2015",19800,2:24,0021500001
"THURSDAY, DECEMBER 3, 2015",19247,2:15,0021500001
"THURSDAY, DECEMBER 3, 2015",17013,2:19,0021500001
"THURSDAY, DECEMBER 3, 2015",19206,2:06,0021500001
"THURSDAY, DECEMBER 3, 2015",18660,2:15,0021500001
"FRIDAY, DECEMBER 4, 2015",19812,2:13,0021500001
"FRIDAY, DECEMBER 4, 2015",17255,2:20,0021500001
"FRIDAY, DECEMBER 4, 2015",16963,2:20,0021500001
"FRIDAY, DECEMBER 4, 2015",19051,2:01,0021500001
"FRIDAY, DECEMBER 4, 2015",20339,2:20,0021500001
"FRIDAY, DECEMBER 4, 2015",17906,2:48,0021500001
"SATURDAY, DECEMBER 5, 2015",14367,2:22,0021500001
"SATURDAY, DECEMBER 5, 2015",20160,2:30,0021500001
"SATURDAY, DECEMBER 5, 2015",19600,2:23,0021500001
"SATURDAY, DECEMBER 5, 2015",21770,2:09,0021500001
"SATURDAY, DECEMBER 5, 2015",17318,2:17,0021500001
"SATURDAY, DECEMBER 5, 2015",16203,2:24,0021500001
"SATURDAY, DECEMBER 5, 2015",16223,2:12,0021500001
"SATURDAY, DECEMBER 5, 2015",18418,2:19,0021500001
"SATURDAY, DECEMBER 5, 2015",19500,2:50,0021500001
"SATURDAY, DECEMBER 5, 2015",19146,2:14,0021500001
"SUNDAY, DECEMBER 6, 2015",16022,2:21,0021500001
"SUNDAY, DECEMBER 6, 2015",17732,2:10,0021500001
"SUNDAY, DECEMBER 6, 2015",20228,2:13,0021500001
"SUNDAY, DECEMBER 6, 2015",16394,2:12,0021500001
"SUNDAY, DECEMBER 6, 2015",18203,2:28,0021500001
"MONDAY, DECEMBER 7, 2015",15481,2:08,0021500001
"MONDAY, DECEMBER 7, 2015",14449,2:10,0021500001
"MONDAY, DECEMBER 7, 2015",19600,2:19,0021500001
"MONDAY, DECEMBER 7, 2015",19812,2:12,0021500001
"MONDAY, DECEMBER 7, 2015",20163,2:13,0021500001
"MONDAY, DECEMBER 7, 2015",21337,2:13,0021500001
"MONDAY, DECEMBER 7, 2015",14389,2:24,0021500001
"MONDAY, DECEMBER 7, 2015",11467,2:39,0021500001
"MONDAY, DECEMBER 7, 2015",15715,2:06,0021500001
"TUESDAY, DECEMBER 8, 2015",20562,2:21,0021500001
"TUESDAY, DECEMBER 8, 2015",18165,2:15,0021500001
"TUESDAY, DECEMBER 8, 2015",13319,2:10,0021500001
"TUESDAY, DECEMBER 8, 2015",16415,2:09,0021500001
"TUESDAY, DECEMBER 8, 2015",13925,2:05,0021500001
"TUESDAY, DECEMBER 8, 2015",16505,2:13,0021500001
"WEDNESDAY, DECEMBER 9, 2015",17318,2:25,0021500001
"WEDNESDAY, DECEMBER 9, 2015",17404,2:01,0021500001
"WEDNESDAY, DECEMBER 9, 2015",16041,2:22,0021500001
"WEDNESDAY, DECEMBER 9, 2015",13411,2:08,0021500001
"WEDNESDAY, DECEMBER 9, 2015",19800,2:12,0021500001
"WEDNESDAY, DECEMBER 9, 2015",14224,2:17,0021500001
"WEDNESDAY, DECEMBER 9, 2015",18076,2:39,0021500001
"WEDNESDAY, DECEMBER 9, 2015",17637,2:19,0021500001
"WEDNESDAY, DECEMBER 9, 2015",18586,2:14,0021500001
"WEDNESDAY, DECEMBER 9, 2015",19936,2:16,0021500001
"THURSDAY, DECEMBER 10, 2015",13266,2:20,0021500001
"THURSDAY, DECEMBER 10, 2015",21491,2:12,0021500001
"THURSDAY, DECEMBER 10, 2015",18203,2:06,0021500001
"THURSDAY, DECEMBER 10, 2015",17317,2:23,0021500001
"FRIDAY, DECEMBER 11, 2015",16184,2:13,0021500001
"FRIDAY, DECEMBER 11, 2015",17239,2:08,0021500001
"FRIDAY, DECEMBER 11, 2015",14020,2:12,0021500001
"FRIDAY, DECEMBER 11, 2015",18624,2:56,0021500001
"FRIDAY, DECEMBER 11, 2015",19800,2:10,0021500001
"FRIDAY, DECEMBER 11, 2015",17111,2:18,0021500001
"FRIDAY, DECEMBER 11, 2015",16875,2:15,0021500001
"FRIDAY, DECEMBER 11, 2015",12533,2:47,0021500001
"FRIDAY, DECEMBER 11, 2015",19911,2:11,0021500001
"FRIDAY, DECEMBER 11, 2015",18418,2:11,0021500001
"FRIDAY, DECEMBER 11, 2015",17028,1:56,0021500001
"SATURDAY, DECEMBER 12, 2015",15689,2:18,0021500001
"SATURDAY, DECEMBER 12, 2015",18490,2:05,0021500001
"SATURDAY, DECEMBER 12, 2015",14858,2:06,0021500001
"SATURDAY, DECEMBER 12, 2015",17752,2:06,0021500001
"SATURDAY, DECEMBER 12, 2015",21605,2:09,0021500001
"SATURDAY, DECEMBER 12, 2015",18456,2:06,0021500001
"SATURDAY, DECEMBER 12, 2015",20088,2:19,0021500001
"SATURDAY, DECEMBER 12, 2015",18717,2:07,0021500001
"SATURDAY, DECEMBER 12, 2015",19511,2:25,0021500001
"SUNDAY, DECEMBER 13, 2015",16919,2:20,0021500001
"SUNDAY, DECEMBER 13, 2015",19813,2:10,0021500001
"SUNDAY, DECEMBER 13, 2015",19800,2:16,0021500001
"SUNDAY, DECEMBER 13, 2015",18203,2:29,0021500001
"MONDAY, DECEMBER 14, 2015",16598,2:09,0021500001
"MONDAY, DECEMBER 14, 2015",12946,2:04,0021500001
"MONDAY, DECEMBER 14, 2015",13525,2:43,0021500001
"MONDAY, DECEMBER 14, 2015",15039,2:10,0021500001
"MONDAY, DECEMBER 14, 2015",21166,2:02,0021500001
"MONDAY, DECEMBER 14, 2015",15397,2:06,0021500001
"MONDAY, DECEMBER 14, 2015",19822,2:18,0021500001
"MONDAY, DECEMBER 14, 2015",18418,2:05,0021500001
"MONDAY, DECEMBER 14, 2015",12022,2:13,0021500001
"MONDAY, DECEMBER 14, 2015",19231,2:16,0021500001
"TUESDAY, DECEMBER 15, 2015",18624,2:03,0021500001
"TUESDAY, DECEMBER 15, 2015",11323,2:18,0021500001
"TUESDAY, DECEMBER 15, 2015",17317,2:20,0021500001
"TUESDAY, DECEMBER 15, 2015",18997,2:01,0021500001
"WEDNESDAY, DECEMBER 16, 2015",14824,2:02,0021500001
"WEDNESDAY, DECEMBER 16, 2015",16019,2:01,0021500001
"WEDNESDAY, DECEMBER 16, 2015",15113,2:08,0021500001
"WEDNESDAY, DECEMBER 16, 2015",13120,2:31,0021500001
"WEDNESDAY, DECEMBER 16, 2015",19812,2:22,0021500001
"WEDNESDAY, DECEMBER 16, 2015",14827,2:21,0021500001
"WEDNESDAY, DECEMBER 16, 2015",21032,2:17,0021500001
"WEDNESDAY, DECEMBER 16, 2015",18203,2:12,0021500001
"WEDNESDAY, DECEMBER 16, 2015",18418,2:11,0021500001
"WEDNESDAY, DECEMBER 16, 2015",17899,2:16,0021500001
"WEDNESDAY, DECEMBER 16, 2015",19596,2:16,0021500001
"WEDNESDAY, DECEMBER 16, 2015",19060,2:06,0021500001
"THURSDAY, DECEMBER 17, 2015",15817,2:34,0021500001
"THURSDAY, DECEMBER 17, 2015",20562,2:26,0021500001
"THURSDAY, DECEMBER 17, 2015",18997,2:26,0021500001
"FRIDAY, DECEMBER 18, 2015",16548,2:04,0021500001
"FRIDAY, DECEMBER 18, 2015",17156,2:16,0021500001
"FRIDAY, DECEMBER 18, 2015",17880,2:22,0021500001
"FRIDAY, DECEMBER 18, 2015",18624,2:23,0021500001
"FRIDAY, DECEMBER 18, 2015",19600,2:06,0021500001
"FRIDAY, DECEMBER 18, 2015",21534,3:25,0021500001
"FRIDAY, DECEMBER 18, 2015",12770,2:17,0021500001
"FRIDAY, DECEMBER 18, 2015",18418,2:37,0021500001
"FRIDAY, DECEMBER 18, 2015",20199,2:13,0021500001
"FRIDAY, DECEMBER 18, 2015",19169,2:12,0021500001
"FRIDAY, DECEMBER 18, 2015",17227,2:23,0021500001
"FRIDAY, DECEMBER 18, 2015",19596,2:19,0021500001
"SATURDAY, DECEMBER 19, 2015",18203,2:01,0021500001
"SATURDAY, DECEMBER 19, 2015",16987,2:03,0021500001
"SATURDAY, DECEMBER 19, 2015",19812,2:05,0021500001
"SATURDAY, DECEMBER 19, 2015",18212,2:32,0021500001
"SATURDAY, DECEMBER 19, 2015",18119,2:12,0021500001
"SUNDAY, DECEMBER 20, 2015",14552,2:05,0021500001
"SUNDAY, DECEMBER 20, 2015",19600,2:15,0021500001
"SUNDAY, DECEMBER 20, 2015",20562,2:15,0021500001
"SUNDAY, DECEMBER 20, 2015",16859,2:22,0021500001
"SUNDAY, DECEMBER 20, 2015",16982,2:12,0021500001
"SUNDAY, DECEMBER 20, 2015",19800,2:12,0021500001
"SUNDAY, DECEMBER 20, 2015",13857,2:20,0021500001
"MONDAY, DECEMBER 21, 2015",15124,2:09,0021500001
