GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted Shot,Assisted,122.0,122.0,1.0,15.0,15.0,1.0,1.061,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,64.0,64.0,1.0,1.0,1.0,1.0,1.008,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,9.0,9.0,1.0,1.0,1.0,1.0,1.056,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,32.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,8.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,130.0,130.0,1.0,40.0,40.0,1.0,1.154,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,317.0,317.0,1.0,4.0,4.0,1.0,1.006,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,245.0,245.0,1.0,108.0,108.0,1.0,1.22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,46.0,46.0,1.0,2.0,2.0,1.0,1.022,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,104.0,104.0,1.0,43.0,43.0,1.0,1.207,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,83.0,83.0,1.0,4.0,4.0,1.0,1.024,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,225.0,225.0,1.0,46.0,46.0,1.0,1.102,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,245.0,245.0,1.0,18.0,18.0,1.0,1.037,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,30.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,21.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,71.0,71.0,1.0,35.0,35.0,1.0,1.246,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,17.0,17.0,1.0,1.0,1.0,1.0,1.029,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,28.0,28.0,1.0,17.0,17.0,1.0,1.304,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,21.0,21.0,1.0,7.0,7.0,1.0,1.167,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,68.0,68.0,1.0,39.0,39.0,1.0,1.287,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,9.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,207.0,207.0,1.0,129.0,129.0,1.0,1.312,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,41.0,41.0,1.0,6.0,6.0,1.0,1.073,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,319.0,319.0,1.0,23.0,23.0,1.0,1.036,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,148.0,148.0,1.0,1.0,1.0,1.0,1.003,0.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Unassisted
Assisted Shot,Assisted,169.0,169.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,Assisted
Assisted Shot,Unassisted,94.0,94.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,Unassisted
