"CLOSE_DEF_PERSON_ID","GP","G","DEFENSE_CATEGORY","FREQ","D_FGM","D_FGA","D_FG_PCT","NORMAL_FG_PCT","PCT_PLUSMINUS","DEF_PERSON_NAME"
"201582","54","54","Overall","1.000","3.07","6.39","0.481","0.474"," 0.007","Alexis Ajinca"
"201582","54","25","3 Pointers","0.116","0.33","0.74","0.450","0.350"," 0.100","Alexis Ajinca"
"201582","54","54","2 Pointers","0.884","2.74","5.65","0.485","0.502","-0.016","Alexis Ajinca"
"201582","54","51","Less Than 6 Ft","0.423","1.59","2.70","0.589","0.603","-0.014","Alexis Ajinca"
"201582","54","53","Less Than 10 Ft","0.603","2.02","3.85","0.524","0.550","-0.026","Alexis Ajinca"
"201582","54","39","Greater Than 15 Ft","0.336","0.91","2.15","0.422","0.383"," 0.039","Alexis Ajinca"
"202087","70","70","Overall","1.000","3.06","6.87","0.445","0.448","-0.003","Alonzo Gee"
"202087","70","63","3 Pointers","0.362","0.86","2.49","0.345","0.357","-0.012","Alonzo Gee"
"202087","70","70","2 Pointers","0.638","2.20","4.39","0.502","0.490"," 0.011","Alonzo Gee"
"202087","70","60","Less Than 6 Ft","0.249","1.14","1.71","0.667","0.611"," 0.055","Alonzo Gee"
"202087","70","65","Less Than 10 Ft","0.351","1.43","2.41","0.592","0.551"," 0.041","Alonzo Gee"
"202087","70","67","Greater Than 15 Ft","0.545","1.33","3.74","0.355","0.375","-0.020","Alonzo Gee"
"203076","61","61","Overall","1.000","6.38","14.75","0.432","0.466","-0.034","Anthony Davis"
"203076","61","56","3 Pointers","0.244","1.21"," 3.61","0.336","0.355","-0.019","Anthony Davis"
"203076","61","61","2 Pointers","0.756","5.16","11.15","0.463","0.501","-0.038","Anthony Davis"
"203076","61","60","Less Than 6 Ft","0.353","2.90"," 5.21","0.557","0.604","-0.048","Anthony Davis"
"203076","61","61","Less Than 10 Ft","0.499","3.84"," 7.36","0.521","0.555","-0.033","Anthony Davis"
"203076","61","59","Greater Than 15 Ft","0.434","2.21"," 6.41","0.345","0.380","-0.035","Anthony Davis"
"1626214","12","12","Overall","1.000","3.17","6.42","0.494","0.431"," 0.063","Bryce Dejean-Jones"
"1626214","12","10","3 Pointers","0.390","1.33","2.50","0.533","0.360"," 0.174","Bryce Dejean-Jones"
"1626214","12","12","2 Pointers","0.610","1.83","3.92","0.468","0.477","-0.009","Bryce Dejean-Jones"
"1626214","12","11","Less Than 6 Ft","0.364","1.17","2.33","0.500","0.595","-0.095","Bryce Dejean-Jones"
"1626214","12","11","Less Than 10 Ft","0.416","1.25","2.67","0.469","0.537","-0.068","Bryce Dejean-Jones"
"1626214","12","10","Greater Than 15 Ft","0.519","1.58","3.33","0.475","0.364"," 0.111","Bryce Dejean-Jones"
"201967","77","77","Overall","1.000","3.79","8.05","0.471","0.447"," 0.024","Dante Cunningham"
"201967","77","68","3 Pointers","0.350","0.96","2.82","0.341","0.349","-0.008","Dante Cunningham"
"201967","77","75","2 Pointers","0.650","2.83","5.23","0.541","0.494"," 0.047","Dante Cunningham"
"201967","77","66","Less Than 6 Ft","0.287","1.58","2.31","0.685","0.620"," 0.066","Dante Cunningham"
"201967","77","72","Less Than 10 Ft","0.390","1.92","3.14","0.612","0.561"," 0.051","Dante Cunningham"
"201967","77","73","Greater Than 15 Ft","0.510","1.55","4.10","0.377","0.366"," 0.011","Dante Cunningham"
"201569","44","44","Overall","1.000","3.48","7.70","0.451","0.439"," 0.012","Eric Gordon"
"201569","44","42","3 Pointers","0.348","0.91","2.68","0.339","0.359","-0.020","Eric Gordon"
"201569","44","44","2 Pointers","0.652","2.57","5.02","0.511","0.482"," 0.029","Eric Gordon"
"201569","44","36","Less Than 6 Ft","0.218","1.11","1.68","0.662","0.597"," 0.066","Eric Gordon"
"201569","44","42","Less Than 10 Ft","0.316","1.50","2.43","0.617","0.529"," 0.088","Eric Gordon"
"201569","44","42","Greater Than 15 Ft","0.558","1.52","4.30","0.354","0.375","-0.021","Eric Gordon"
"202397","72","72","Overall","1.000","5.38","11.07","0.486","0.440","0.045","Ish Smith"
"202397","72","67","3 Pointers","0.304","1.31"," 3.36","0.388","0.367","0.021","Ish Smith"
"202397","72","72","2 Pointers","0.696","4.07"," 7.71","0.528","0.478","0.050","Ish Smith"
"202397","72","69","Less Than 6 Ft","0.263","2.13"," 2.92","0.729","0.598","0.131","Ish Smith"
"202397","72","72","Less Than 10 Ft","0.363","2.53"," 4.01","0.630","0.538","0.092","Ish Smith"
"202397","72","71","Greater Than 15 Ft","0.521","2.26"," 5.76","0.393","0.376","0.016","Ish Smith"
"203516","15","15","Overall","1.000","2.93","6.47","0.454","0.429","0.024","James Ennis"
"203516","15","14","3 Pointers","0.412","1.07","2.67","0.400","0.353","0.047","James Ennis"
"203516","15","13","2 Pointers","0.588","1.87","3.80","0.491","0.476","0.015","James Ennis"
"203516","15"," 7","Less Than 6 Ft","0.144","0.80","0.93","0.857","0.602","0.255","James Ennis"
"203516","15"," 8","Less Than 10 Ft","0.258","1.27","1.67","0.760","0.539","0.221","James Ennis"
"203516","15","14","Greater Than 15 Ft","0.619","1.53","4.00","0.383","0.358","0.026","James Ennis"
"202690","5","5","Overall","1.000","1.4","1.8","0.778","0.449","0.329","Jimmer Fredette"
"202690","5","2","3 Pointers","0.222","0.4","0.4","1.000","0.325","0.676","Jimmer Fredette"
"202690","5","4","2 Pointers","0.778","1.0","1.4","0.714","0.511","0.203","Jimmer Fredette"
"202690","5","2","Less Than 6 Ft","0.222","0.4","0.4","1.000","0.644","0.356","Jimmer Fredette"
"202690","5","3","Less Than 10 Ft","0.444","0.8","0.8","1.000","0.544","0.457","Jimmer Fredette"
"202690","5","3","Greater Than 15 Ft","0.444","0.6","0.8","0.750","0.334","0.417","Jimmer Fredette"
"202706","11","11","Overall","1.000","4.36","10.00","0.436","0.429"," 0.008","Jordan Hamilton"
"202706","11","11","3 Pointers","0.355","1.09"," 3.55","0.308","0.351","-0.043","Jordan Hamilton"
"202706","11","11","2 Pointers","0.645","3.27"," 6.45","0.507","0.469"," 0.038","Jordan Hamilton"
