PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Butler, Jimmy",202710.0,0.053,0.61,0.02,0.02,0.06,0.333,0.0,0.04,0.0,0.02,0.02,1.0
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Gasol, Pau",2200.0,0.053,0.61,0.08,0.08,0.1,0.8,0.08,0.1,0.8,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Rose, Derrick",201565.0,0.051,0.59,0.02,0.08,0.22,0.364,0.08,0.16,0.5,0.0,0.06,0.0
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Portis, Bobby",1626171.0,0.046,0.53,0.12,0.14,0.29,0.467,0.12,0.27,0.429,0.02,0.02,1.0
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Moore, E'Twaun",202734.0,0.041,0.47,0.02,0.02,0.08,0.25,0.02,0.08,0.25,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Gibson, Taj",201959.0,0.022,0.25,0.02,0.04,0.04,1.0,0.04,0.04,1.0,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Dunleavy, Mike",2399.0,0.015,0.18,0.02,0.02,0.04,0.5,0.0,0.0,,0.02,0.04,0.5
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Snell, Tony",203503.0,0.014,0.16,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Bairstow, Cameron",203946.0,0.007,0.08,0.02,0.02,0.02,1.0,0.02,0.02,1.0,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Teague, Jeff",201952.0,0.336,11.31,0.24,0.66,1.85,0.358,0.49,1.16,0.419,0.18,0.69,0.255
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Millsap, Paul",200794.0,0.181,6.08,0.76,0.96,1.57,0.612,0.84,1.32,0.633,0.12,0.24,0.5
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Horford, Al",201143.0,0.167,5.62,0.57,0.61,1.2,0.506,0.57,0.96,0.592,0.04,0.24,0.167
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Schroder, Dennis",203471.0,0.138,4.64,0.12,0.34,0.85,0.397,0.24,0.57,0.429,0.09,0.28,0.333
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Korver, Kyle",2594.0,0.057,1.93,0.28,0.28,0.58,0.488,0.08,0.14,0.6,0.2,0.45,0.455
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Scott, Mike",203118.0,0.029,0.99,0.05,0.07,0.2,0.333,0.07,0.2,0.333,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Sefolosha, Thabo",200757.0,0.026,0.86,0.08,0.08,0.14,0.6,0.08,0.12,0.667,0.0,0.01,0.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Splitter, Tiago",201168.0,0.02,0.69,0.09,0.09,0.19,0.5,0.09,0.19,0.5,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Muscala, Mike",203488.0,0.015,0.51,0.01,0.01,0.05,0.25,0.01,0.04,0.333,0.0,0.01,0.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Hardaway Jr., Tim",203501.0,0.01,0.35,0.04,0.04,0.12,0.333,0.03,0.05,0.5,0.01,0.07,0.2
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Humphries, Kris",2743.0,0.007,0.24,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Patterson, Lamar",203934.0,0.005,0.16,0.01,0.01,0.01,1.0,0.01,0.01,1.0,0.0,0.0,
