GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted By,2550.0,"Hinrich, Kirk",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,2550
Assisted By,203200.0,"Holiday, Justin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203200
Assisted By,201143.0,"Horford, Al",44.0,44.0,1.0,23.0,23.0,1.0,1.261,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2743.0,"Humphries, Kris",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2743
Assisted By,202714.0,"Mack, Shelvin",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",52.0,52.0,1.0,30.0,30.0,1.0,1.288,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
Assisted By,203488.0,"Muscala, Mike",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203488
Assisted By,203934.0,"Patterson, Lamar",2.0,2.0,1.0,2.0,2.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",35.0,35.0,1.0,25.0,25.0,1.0,1.357,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",7.0,7.0,1.0,3.0,3.0,1.0,1.214,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200757
Assisted By,201168.0,"Splitter, Tiago",4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201168
Assisted By,201952.0,"Teague, Jeff",71.0,71.0,1.0,49.0,49.0,1.0,1.345,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,203145.0,"Bazemore, Kent",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203145
Assisted By,203200.0,"Holiday, Justin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203200
Assisted By,201143.0,"Horford, Al",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2594.0,"Korver, Kyle",4.0,4.0,1.0,1.0,1.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
