PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Bazemore, Kent",203145.0,0.003,0.04,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Mirotic, Nikola",202703.0,0.094,1.27,0.1,0.12,0.29,0.4,0.08,0.18,0.444,0.04,0.12,0.333
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Felicio, Cristiano",1626245.0,0.09,1.22,0.04,0.06,0.33,0.176,0.06,0.25,0.231,0.0,0.08,0.0
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Brooks, Aaron",201166.0,0.086,1.16,0.14,0.16,0.49,0.32,0.04,0.24,0.167,0.12,0.25,0.462
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Portis, Bobby",1626171.0,0.077,1.04,0.08,0.14,0.29,0.467,0.1,0.18,0.556,0.04,0.12,0.333
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Butler, Jimmy",202710.0,0.064,0.86,0.24,0.25,0.41,0.619,0.12,0.18,0.667,0.14,0.24,0.583
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"McDermott, Doug",203926.0,0.058,0.78,0.08,0.1,0.22,0.455,0.06,0.1,0.6,0.04,0.12,0.333
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Gasol, Pau",2200.0,0.055,0.75,0.06,0.06,0.22,0.273,0.02,0.1,0.2,0.04,0.12,0.333
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Rose, Derrick",201565.0,0.046,0.63,0.1,0.14,0.24,0.583,0.1,0.18,0.556,0.04,0.06,0.667
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Moore, E'Twaun",202734.0,0.044,0.59,0.08,0.08,0.2,0.4,0.04,0.14,0.286,0.04,0.06,0.667
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Snell, Tony",203503.0,0.022,0.29,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Gibson, Taj",201959.0,0.02,0.27,0.06,0.1,0.12,0.833,0.1,0.12,0.833,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Dunleavy, Mike",2399.0,0.012,0.16,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,received,51.0,"Bairstow, Cameron",203946.0,0.009,0.12,0.02,0.02,0.04,0.5,0.0,0.02,0.0,0.02,0.02,1.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Millsap, Paul",200794.0,0.234,7.3,0.62,0.78,1.72,0.457,0.47,0.92,0.515,0.31,0.8,0.39
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Horford, Al",201143.0,0.227,7.08,0.47,0.62,1.73,0.359,0.43,0.95,0.457,0.19,0.78,0.241
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Teague, Jeff",201952.0,0.189,5.91,0.69,0.78,2.0,0.392,0.39,0.91,0.433,0.39,1.09,0.358
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Schroder, Dennis",203471.0,0.095,2.96,0.36,0.49,1.03,0.474,0.31,0.59,0.523,0.18,0.43,0.406
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Korver, Kyle",2594.0,0.086,2.69,0.38,0.5,0.78,0.638,0.32,0.49,0.667,0.18,0.3,0.591
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Scott, Mike",203118.0,0.044,1.36,0.04,0.08,0.34,0.24,0.05,0.23,0.235,0.03,0.11,0.25
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Sefolosha, Thabo",200757.0,0.039,1.2,0.14,0.16,0.35,0.462,0.07,0.18,0.385,0.09,0.18,0.538
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Muscala, Mike",203488.0,0.028,0.88,0.03,0.07,0.16,0.417,0.04,0.07,0.6,0.03,0.09,0.286
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Splitter, Tiago",201168.0,0.024,0.76,0.05,0.11,0.19,0.571,0.09,0.18,0.538,0.01,0.01,1.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Humphries, Kris",2743.0,0.013,0.39,0.0,0.04,0.07,0.6,0.04,0.05,0.75,0.0,0.01,0.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Patterson, Lamar",203934.0,0.006,0.18,0.03,0.03,0.07,0.4,0.01,0.04,0.333,0.01,0.03,0.5
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Hardaway Jr., Tim",203501.0,0.006,0.2,0.03,0.03,0.04,0.667,0.01,0.01,1.0,0.01,0.03,0.5
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Tavares, Walter",204002.0,0.005,0.15,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Mack, Shelvin",202714.0,0.002,0.07,0.01,0.01,0.01,1.0,0.0,0.0,,0.01,0.01,1.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Holiday, Justin",203200.0,0.002,0.05,0.01,0.01,0.01,1.0,0.0,0.0,,0.01,0.01,1.0
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,received,74.0,"Hinrich, Kirk",2550.0,0.002,0.05,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.01,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,received,46.0,"Humphries, Kris",2743.0,0.028,0.59,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.02,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,received,46.0,"Scott, Mike",203118.0,0.02,0.41,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.02,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,received,46.0,"Millsap, Paul",200794.0,0.017,0.35,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,received,46.0,"Schroder, Dennis",203471.0,0.014,0.28,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,received,46.0,"Muscala, Mike",203488.0,0.013,0.26,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
