"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","elo_i","opp_id","opp_elo_i","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500040,"BOS",40,"NBA",0,2015,2015-11-01,3,0,1519.64553171702,"SAS",1671.49638046624,"H",0.424737984892337,"E","W","0",107.5,104,1152,201639,204058,48,35.5,85,0.4175,7.5,25,0.301,29,34,0.8715,8.5,31,39.5,27,12,5,17,25.5,107.5,3.5,99.45,97.25,2.25,0.757,1.585,18.75,0.1875,0.732,0.4445,0.157,0.462,0.539,0.2,107.61,0.5305,0.0752,0.2355,2,2,2,2,2,2,0,3,1,0,0,17461,2.21666666666667
21500041,"HOU",41,"NBA",1,2015,2015-11-01,3,0,1591.96990243717,"MIA",1473.18165476428,"A",0.524213240254802,"W","E","0",88.5,98,1168,2001,203592,48,30,84.5,0.3555,6.5,29,0.223,22,31,0.702,13.5,33,46.5,18,8,8.5,16,19.5,88.5,-20,87.05,108.5,-21.45,0.6,1.06,13.5,0.2615,0.767,0.4915,0.167,0.3935,0.451,0.198,100.8,0.3705,0.08975,0.296,0,2,0,1,2,2,1,0,2,0,0,19600,2.26666666666667
21500042,"TOR",42,"NBA",0,2015,2015-11-01,3,0,1521.06275992456,"MIL",1437.21303130721,"H",0.746029014970131,"E","E","1",109.5,105,1162,202007,202027,48,36,81,0.4445,9,22,0.406,28.5,37,0.7745,9,42.5,51.5,21,9.5,2.5,20.5,28.5,109.5,8.5,99.75,92.85,6.85,0.5835,0.975,15.05,0.2225,0.85,0.569,0.1955,0.5,0.5625,0.198,109.31,0.546,0.1306,0.287,2,2,2,2,2,2,0,1,0,2,0,19800,2.11666666666667
21500043,"CHI",43,"NBA",0,2015,2015-11-01,4,0,1582.95588017914,"ORL",1358.72762475879,"H",0.868318387639081,"E","E","1",102,103.333333333333,1194,202037,202058,48,37.6666666666667,83,0.456,9.33333333333333,23,0.395333333333333,17.3333333333333,23,0.759,6.66666666666667,38.6666666666667,45.3333333333333,17,7.66666666666667,7,17,23.3333333333333,102,4.33333333333333,98.2,93.1,5.06666666666667,0.452,0.966666666666667,13.3,0.154,0.713666666666667,0.466333333333333,0.169333333333333,0.513333333333333,0.551,0.198666666666667,101.14,0.518666666666667,0.1156,0.271333333333333,3,3,3,3,3,3,0,1,1,0,0,21585,2.16666666666667
21500044,"OKC",44,"NBA",0,2015,2015-11-01,3,0,1576.67183726266,"DEN",1457.14636840961,"H",0.772147458832797,"W","W","1",125.5,91.5,1164,1204,2003,48,46,98,0.4715,7.5,23,0.332,26,30,0.8855,16.5,37,53.5,20,7.5,6.5,19.5,23.5,125.5,4.5,109.3,104.25,5,0.44,1.005,13.45,0.3305,0.785,0.5575,0.175,0.51,0.5665,0.1995,104.33,0.5085,0.0959,0.3815,2,2,2,2,2,2,0,1,0,2,0,18203,2.15
21500046,"PHI",46,"NBA",0,2015,2015-11-02,3,0,1317.22872070824,"CLE",1665.65029075752,"H",0.186254157138927,"E","E","0",83,100.5,1147,101283,204059,48,26.5,73,0.356,6.5,18.5,0.359,23.5,30,0.8,11,31.5,42.5,13.5,7.5,5.5,20,22,83,-22.5,85.35,106.55,-21.2,0.571,0.645,11.25,0.2425,0.7335,0.481,0.2215,0.4005,0.479,0.1975,97.82,0.3175,0.0821428571428571,0.2525,0,0,2,2,0,2,0,2,2,0,0,18094,2.28333333333333
21500048,"SAS",48,"NBA",1,2015,2015-11-02,4,0,1676.26315275304,"NYK",1359.12158138157,"A",0.766936498373948,"W","E","1",101,113.333333333333,1193,2530,202053,48,40.3333333333333,87.3333333333333,0.461,6.33333333333333,18.6666666666667,0.335,14,17,0.855333333333333,9.66666666666667,38,47.6666666666667,22.3333333333333,9.33333333333333,6.33333333333333,16.3333333333333,16.6666666666667,101,9.66666666666667,98.9666666666667,89.7,9.23333333333333,0.558333333333333,1.35666666666667,16.6666666666667,0.237666666666667,0.800333333333333,0.537,0.166666666666667,0.497333333333333,0.532666666666667,0.198666666666667,101.813333333333,0.600333333333333,0.115,0.321666666666667,3,3,3,3,3,3,2,0,0,2,1,19812,2.06666666666667
21500049,"OKC",49,"NBA",1,2015,2015-11-02,4,0,1588.04168582618,"HOU",1576.35810132818,"A",0.369833031879086,"W","W","0",122.666666666667,88.6666666666667,1201,2715,101284,48,45.6666666666667,94,0.488666666666667,9.33333333333333,23.6666666666667,0.394666666666667,22,26,0.849666666666667,15.3333333333333,37,52.3333333333333,24,8,7.66666666666667,19.3333333333333,23.3333333333333,122.666666666667,11,111.9,100.7,11.1666666666667,0.530333333333333,1.23,16.3333333333333,0.347666666666667,0.765,0.567666666666667,0.18,0.539666666666667,0.585333333333333,0.199666666666667,102.766666666667,0.562666666666667,0.108666666666667,0.344,3,3,3,3,3,3,1,0,0,3,1,17224,2.35
21500050,"MIN",50,"NBA",0,2015,2015-11-02,3,0,1351.42776031373,"POR",1536.08169689958,"H",0.396458007655017,"W","W","0",103.5,102,2529,201246,202007,48,34,77,0.4405,3.5,15.5,0.216,32,39,0.8215,6.5,37.5,44,21,5,5,12.5,25,103.5,9,102.8,90,12.75,0.616,2,16.35,0.157,0.7225,0.469,0.1295,0.4625,0.5485,0.199,102.63,0.6325,0.1609,0.264,2,2,2,2,2,2,0,1,0,2,0,18903,2.51666666666667
21500051,"GSW",51,"NBA",0,2015,2015-11-02,4,0,1761.01647835449,"MEM",1580.15117830442,"H",0.840712764828068,"W","W","1",119,96.3333333333333,1151,1199,200832,48,43.3333333333333,91,0.479,11.6666666666667,28.6666666666667,0.404333333333333,20.6666666666667,27.3333333333333,0.767666666666667,11.6666666666667,35.3333333333333,47,27,9,5,12.6666666666667,25.6666666666667,119,16.6666666666667,114.266666666667,96.0666666666667,18.2333333333333,0.625666666666667,2.43333333333333,18.9,0.257333333333333,0.75,0.520333333333333,0.121333333333333,0.544666666666667,0.579,0.2,105.153333333333,0.605666666666667,0.126133333333333,0.346,2,3,3,2,3,3,0,1,0,3,0,19596,2.15
