"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
26,21500026,"NBA",0,2015,"2015-10-30",3,0,"ATL",NA,97,1559.26592557404,1561.18060976607,NA,"CHA",NA,94,1422.41804559138,1422.41804559138,"H","W",0.796312703437,"E","E",1,103,94
26,21500026,"NBA",1,2015,"2015-10-30",2,0,"CHA",NA,94,1422.41804559138,1422.41804559138,NA,"ATL",NA,97,1559.26592557404,1561.18060976607,"A","L",0.203687296563,"E","E",0,94,94
27,21500027,"NBA",1,2015,"2015-10-30",2,0,"WAS",NA,118,1538.82251960316,1545.82564244833,NA,"MIL",NA,113,1437.49785353022,1435.18278301335,"A","W",0.501906338483218,"E","E",1,88,97
27,21500027,"NBA",0,2015,"2015-10-30",2,0,"MIL",NA,113,1437.49785353022,1435.18278301335,NA,"WAS",NA,118,1538.82251960316,1545.82564244833,"H","L",0.498093661516783,"E","E",0,97,88
28,21500028,"NBA",1,2015,"2015-10-30",2,0,"BKN",NA,75,1459.90820752087,1453.27304550511,NA,"SAS",NA,102,1663.73961352064,1668.56958065483,"A","L",0.148174108061949,"E","W",0,100,106
28,21500028,"NBA",0,2015,"2015-10-30",2,0,"SAS",NA,102,1663.73961352064,1668.56958065483,NA,"BKN",NA,75,1459.90820752087,1453.27304550511,"H","W",0.85182589193805,"W","E",1,106,100
29,21500029,"NBA",0,2015,"2015-10-30",2,0,"DEN",NA,78,1477.810963607,1462.99138683606,NA,"MIN",NA,95,1330.08281880325,1359.54092508787,"H","L",0.80628321351135,"W","W",0,105,112
29,21500029,"NBA",1,2015,"2015-10-30",2,0,"MIN",NA,95,1330.08281880325,1359.54092508787,NA,"DEN",NA,78,1477.810963607,1462.99138683606,"A","W",0.19371678648865,"W","W",1,112,105
30,21500030,"NBA",1,2015,"2015-10-30",2,0,"GSW",NA,112,1745.99811330673,1759.70304734552,NA,"HOU",NA,92,1599.73888007408,1588.15076733078,"A","W",0.566181769647549,"W","W",1,111,85
30,21500030,"NBA",0,2015,"2015-10-30",2,0,"HOU",NA,92,1599.73888007408,1588.15076733078,NA,"GSW",NA,112,1745.99811330673,1759.70304734552,"H","L",0.433818230352451,"W","W",0,85,111
31,21500031,"NBA",0,2015,"2015-10-30",2,0,"SAC",NA,132,1436.86146570737,1443.13898780523,NA,"LAL",NA,114,1335.87655195237,1329.2426815248,"H","W",0.760780286399116,"W","W",1,104,111
31,21500031,"NBA",1,2015,"2015-10-30",2,0,"LAL",NA,114,1335.87655195237,1329.2426815248,NA,"SAC",NA,132,1436.86146570737,1443.13898780523,"A","L",0.239219713600884,"W","W",0,111,104
32,21500032,"NBA",0,2015,"2015-10-30",2,0,"PHX",NA,110,1465.31934846394,1479.85645970673,NA,"POR",NA,92,1552.81405965512,1541.48313009116,"H","W",0.517988789732808,"W","W",1,95,112
32,21500032,"NBA",1,2015,"2015-10-30",2,0,"POR",NA,92,1552.81405965512,1541.48313009116,NA,"PHX",NA,110,1465.31934846394,1479.85645970673,"A","L",0.482011210267192,"W","W",0,112,95
33,21500033,"NBA",1,2015,"2015-10-31",3,0,"UTA",NA,97,1553.78870331833,1573.42807238681,NA,"IND",NA,76,1495.68062135576,1481.09059250644,"A","W",0.440003151912313,"W","E",1,93,101
33,21500033,"NBA",0,2015,"2015-10-31",3,0,"IND",NA,76,1495.68062135576,1481.09059250644,NA,"UTA",NA,97,1553.78870331833,1573.42807238681,"H","L",0.559996848087687,"E","W",0,101,93
34,21500034,"NBA",0,2015,"2015-10-31",3,0,"WAS",NA,110,1545.82564244833,1540.29662388998,NA,"NYK",NA,117,1350.42590428576,1369.05618247083,"H","L",0.845594488557209,"E","E",0,103,111.5
34,21500034,"NBA",1,2015,"2015-10-31",3,0,"NYK",NA,117,1350.42590428576,1369.05618247083,NA,"WAS",NA,110,1545.82564244833,1540.29662388998,"A","W",0.154405511442791,"E","E",1,111.5,103
35,21500035,"NBA",1,2015,"2015-10-31",3,0,"GSW",NA,134,1759.70304734552,1766.49126924817,NA,"NOP",NA,120,1508.95563847183,1502.84940547864,"A","W",0.704281853082533,"W","W",1,111.5,94.5
35,21500035,"NBA",0,2015,"2015-10-31",3,0,"NOP",NA,120,1508.95563847183,1502.84940547864,NA,"GSW",NA,134,1759.70304734552,1766.49126924817,"H","L",0.295718146917467,"W","W",0,94.5,111.5
36,21500036,"NBA",1,2015,"2015-10-31",3,0,"BKN",NA,91,1453.27304550511,1449.9021997682,NA,"MEM",NA,101,1573.63132948179,1577.50460227103,"A","L",0.21951683398867,"E","W",0,87.5,94
36,21500036,"NBA",0,2015,"2015-10-31",3,0,"MEM",NA,101,1573.63132948179,1577.50460227103,NA,"BKN",NA,91,1453.27304550511,1449.9021997682,"H","W",0.78048316601133,"W","E",1,94,87.5
37,21500037,"NBA",1,2015,"2015-10-31",3,0,"PHX",NA,101,1479.85645970673,1497.99560928188,NA,"POR",NA,90,1541.48313009116,1532.54504429862,"A","W",0.28284399525445,"W","W",1,102.5,102
37,21500037,"NBA",0,2015,"2015-10-31",3,0,"POR",NA,90,1541.48313009116,1532.54504429862,NA,"PHX",NA,101,1479.85645970673,1497.99560928188,"H","L",0.71715600474555,"W","W",0,102,102.5
38,21500038,"NBA",1,2015,"2015-10-31",3,0,"SAC",NA,109,1443.13898780523,1442.27010480239,NA,"LAC",NA,114,1658.61745586643,1660.18981413301,"A","L",0.139909715033728,"W","W",0,118,107.5
38,21500038,"NBA",0,2015,"2015-10-31",3,0,"LAC",NA,114,1658.61745586643,1660.18981413301,NA,"SAC",NA,109,1443.13898780523,1442.27010480239,"H","W",0.860090284966272,"W","W",1,107.5,118
39,21500039,"NBA",1,2015,"2015-11-01",4,0,"ATL",NA,94,1561.18060976607,1565.34643762322,NA,"CHA",NA,92,1422.41804559138,1421.19492594117,"A","W",0.555553507350396,"E","E",1,101,93.3333333333333
39,21500039,"NBA",0,2015,"2015-11-01",3,0,"CHA",NA,92,1422.41804559138,1421.19492594117,NA,"ATL",NA,94,1561.18060976607,1565.34643762322,"H","L",0.444446492649604,"E","E",0,94,103
40,21500040,"NBA",0,2015,"2015-11-01",3,0,"BOS",NA,87,1515.87174226304,1511.58653251242,NA,"SAS",NA,95,1668.56958065483,1675.97023811226,"H","L",0.424737984892337,"E","W",0,107.5,104
